"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"Michigan"	"26"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	10	10051137	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Michigan"	"26"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	15	9883640	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Michigan"	"26"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	13	9917715	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Michigan"	"26"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	11	9928300	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Mississippi"	"28"	"Handgun discharge"	"W32"	"1999"	"1999"	10	2828408	0.4 (Unreliable)	0.2	0.7	0.3 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	28	2828408	1.0	0.7	1.4	1.0	0.2%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	13	2852994	0.5 (Unreliable)	0.2	0.8	0.4 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	10	2858681	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	13	2868312	0.5 (Unreliable)	0.2	0.8	0.4 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	10	2905943	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	10	2904978	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	14	2928350	0.5 (Unreliable)	0.3	0.8	0.5 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	12	2947806	0.4 (Unreliable)	0.2	0.7	0.4 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	18	2978162	0.6 (Unreliable)	0.4	1.0	0.6 (Unreliable)	0.2%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	10	2984945	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	10	2990482	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	13	2992400	0.4 (Unreliable)	0.2	0.7	0.4 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	13	2989390	0.4 (Unreliable)	0.2	0.7	0.4 (Unreliable)	0.1%
	"Mississippi"	"28"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	14	2988726	0.5 (Unreliable)	0.3	0.8	0.5 (Unreliable)	0.1%
	"Missouri"	"29"	"Handgun discharge"	"W32"	"2000"	"2000"	12	5595211	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2000"	"2000"	11	5595211	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	11	5790300	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	12	5842704	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	12	5887612	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	14	5923916	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	10	5961088	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Missouri"	"29"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	10	6010717	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"New Jersey"	"34"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	23	8552643	0.3	0.2	0.4	0.3	0.2%
	"New Jersey"	"34"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	12	8661679	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"New Mexico"	"35"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	13	1877574	0.7 (Unreliable)	0.4	1.2	0.7 (Unreliable)	0.1%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	17	18882725	0.1 (Unreliable)	0.1	0.1	0.1 (Unreliable)	0.1%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	19	18976457	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.2%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	13	19082838	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	13	19137800	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	18	19175939	0.1 (Unreliable)	0.1	0.1	0.1 (Unreliable)	0.2%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	16	19171567	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	31	19132610	0.2	0.1	0.2	0.2	0.3%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	11	19104631	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"New York"	"36"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	10	19307066	0.1 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	22	7949361	0.3	0.2	0.4	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	26	8049313	0.3	0.2	0.5	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	31	8210122	0.4	0.3	0.5	0.4	0.3%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	25	8326201	0.3	0.2	0.4	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	27	8422501	0.3	0.2	0.5	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	16	8553152	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	22	8705407	0.3	0.2	0.4	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	16	8917270	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	32	9118037	0.4	0.2	0.5	0.4	0.3%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	12	9309449	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	16	9449566	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	28	9535483	0.3	0.2	0.4	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	33	9650963	0.3	0.2	0.5	0.3	0.3%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	26	9746175	0.3	0.2	0.4	0.3	0.2%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	14	9841590	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	34	9934399	0.3	0.2	0.5	0.3	0.3%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	30	10035186	0.3	0.2	0.4	0.3	0.3%
	"North Carolina"	"37"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	24	10146788	0.2	0.2	0.4	0.2	0.2%
	"Ohio"	"39"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2000"	"2000"	10	11353140	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	26	11335454	0.2	0.1	0.3	0.2	0.2%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	22	11353140	0.2	0.1	0.3	0.2	0.2%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	13	11387404	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	16	11407889	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	17	11434788	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	12	11452251	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	18	11463320	0.2 (Unreliable)	0.1	0.2	0.2 (Unreliable)	0.2%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	22	11481213	0.2	0.1	0.3	0.2	0.2%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	10	11500468	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	10	11515391	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	15	11528896	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	16	11544824	0.1 (Unreliable)	0.1	0.2	0.2 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	13	11570022	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	12	11594408	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	13	11605090	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Ohio"	"39"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	10	11614373	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Oklahoma"	"40"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	22	3437147	0.6	0.4	1.0	0.6	0.2%
	"Oklahoma"	"40"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	17	3450654	0.5 (Unreliable)	0.3	0.8	0.5 (Unreliable)	0.1%
	"Oklahoma"	"40"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	12	3489080	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Oklahoma"	"40"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	12	3504892	0.3 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.1%
	"Oklahoma"	"40"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	10	3786274	0.3 (Unreliable)	0.1	0.5	0.3 (Unreliable)	0.1%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	34	12263805	0.3	0.2	0.4	0.3	0.3%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	38	12281054	0.3	0.2	0.4	0.3	0.3%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	21	12298970	0.2	0.1	0.3	0.2	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	22	12331031	0.2	0.1	0.3	0.2	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	16	12374658	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	21	12410722	0.2	0.1	0.3	0.2	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	30	12449990	0.2	0.2	0.3	0.2	0.3%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	24	12510809	0.2	0.1	0.3	0.2	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	19	12563937	0.2 (Unreliable)	0.1	0.2	0.2 (Unreliable)	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	28	12612285	0.2	0.1	0.3	0.2	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	16	12666858	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	25	12702379	0.2	0.1	0.3	0.2	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	17	12744293	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	61	12771854	0.5	0.4	0.6	0.5	0.5%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	19	12781338	0.1 (Unreliable)	0.1	0.2	0.2 (Unreliable)	0.2%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	12	12790565	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	15	12791904	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Pennsylvania"	"42"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	15	12784227	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	23	3974682	0.6	0.4	0.9	0.6	0.2%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	14	4012012	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	12	4064995	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	27	4107795	0.7	0.4	1.0	0.6	0.2%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	20	4150297	0.5	0.3	0.7	0.5	0.2%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	13	4210921	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	30	4270150	0.7	0.5	1.0	0.7	0.3%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	10	4357847	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	10	4528996	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	13	4589872	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	17	4625364	0.4 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	15	4672637	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	22	4720760	0.5	0.3	0.7	0.5	0.2%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	13	4767894	0.3 (Unreliable)	0.1	0.5	0.3 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	10	4828430	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"South Carolina"	"45"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	17	4961119	0.3 (Unreliable)	0.2	0.5	0.4 (Unreliable)	0.1%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	42	5638706	0.7	0.5	1.0	0.7	0.4%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	39	5689283	0.7	0.5	0.9	0.7	0.3%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	40	5750789	0.7	0.5	0.9	0.7	0.4%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	40	5795918	0.7	0.5	0.9	0.7	0.4%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	33	5847812	0.6	0.4	0.8	0.6	0.3%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	36	5910809	0.6	0.4	0.8	0.6	0.3%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	32	5991057	0.5	0.4	0.8	0.5	0.3%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	23	6088766	0.4	0.2	0.6	0.4	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	22	6175727	0.4	0.2	0.5	0.4	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	15	6247411	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	25	6306019	0.4	0.3	0.6	0.4	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	25	6346105	0.4	0.3	0.6	0.4	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	22	6397634	0.3	0.2	0.5	0.3	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	20	6454306	0.3	0.2	0.5	0.3	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	18	6494821	0.3 (Unreliable)	0.2	0.4	0.3 (Unreliable)	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	26	6595056	0.4	0.3	0.6	0.4	0.2%
	"Tennessee"	"47"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	16	6651194	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Texas"	"48"	"Handgun discharge"	"W32"	"2010"	"2010"	10	25145561	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"1999"	"1999"	13	20558220	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2001"	"2001"	10	21319622	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2002"	"2002"	14	21690325	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2003"	"2003"	12	22030931	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2004"	"2004"	11	22394023	0.0 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2005"	"2005"	11	22778123	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2007"	"2007"	11	23831983	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2008"	"2008"	10	24309039	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2011"	"2011"	10	25646389	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2015"	"2015"	11	27429639	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	47	20558220	0.2	0.2	0.3	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	45	20851820	0.2	0.2	0.3	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	41	21319622	0.2	0.1	0.3	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	30	21690325	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	43	22030931	0.2	0.1	0.3	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	48	22394023	0.2	0.2	0.3	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	43	22778123	0.2	0.1	0.3	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	31	23359580	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	59	23831983	0.2	0.2	0.3	0.2	0.5%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	29	24309039	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	44	24801761	0.2	0.1	0.2	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	37	25145561	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	40	25646389	0.2	0.1	0.2	0.2	0.4%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	35	26071655	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	32	26473525	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	31	26944751	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	30	27429639	0.1	0.1	0.2	0.1	0.3%
	"Texas"	"48"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	36	27862596	0.1	0.1	0.2	0.1	0.3%
	"Virginia"	"51"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	17	7000174	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Washington"	"53"	"Handgun discharge"	"W32"	"1999"	"1999"	11	5842564	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"West Virginia"	"54"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	12	1827912	0.7 (Unreliable)	0.3	1.1	0.6 (Unreliable)	0.1%
	"West Virginia"	"54"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	21	1840310	1.1	0.7	1.7	1.2	0.2%
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"ICD-10 Codes: W32 (Handgun discharge); W33 (Rifle, shotgun and larger firearm discharge); W34 (Discharge from other and"
"unspecified firearms)"
"Group By: State; Cause of death; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Oct 4, 2023 2:31:49 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality: Compressed Mortality File 1999-2016 on CDC WONDER Online Database, released June 2017. Data are from the"
"Compressed Mortality File 1999-2016 Series 20 No. 2U, 2016, as compiled from data provided by the 57 vital statistics"
"jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Oct 4, 2023"
"2:31:49 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
